Project name,ISSUE KEY,Github,Notes
spaCy,,https://github.com/explosion/spaCy,Jupyter
Real-Time-Voice-Cloning,,https://github.com/CorentinJ/Real-Time-Voice-Cloning,
face_recognition,,https://github.com/ageitgey/face_recognition,
faceswap,,https://github.com/deepfakes/faceswap,
yolov5,,https://github.com/ultralytics/yolov5,
DeOldify,,https://github.com/jantic/DeOldify,
neuraltalk,,https://github.com/karpathy/neuraltalk,
DeepSpeech,,https://github.com/mozilla/DeepSpeech,21.40%
Screenshot-to-code,,https://github.com/emilwallner/Screenshot-to-code,Jupyer+python
ChatterBot,,https://github.com/gunthercox/ChatterBot,
da-rnn,,https://github.com/Seanny123/da-rnn,
Paper-Implementation-DSTP RNN-For-Stock-Prediction-Based-On-DA-RNN,,https://github.com/arleigh418/Paper-Implementation-DSTP-RNN-For-Stock-Prediction-Based-On-DA-RNN,
crypto-forecasting-with-neuralnetworks,,https://github.com/ShrutiAppiah/crypto-forecasting-with-neuralnetworks,
Deep-Learning_Weather_Forecasting,,https://github.com/alexanderhucheerful/Deep_Learning_Weather_Forecasting,
streamlit,,https://github.com/streamlit/streamlit,
