Project name,ISSUE KEY,Github
Hadoop,HADOOP,https://github.com/apache/hadoop
Tomcat,MTOMCAT,https://github.com/apache/tomcat
Lucene,LUCENE,https://github.com/apache/lucene-solr
Camel,CAMEL,https://github.com/apache/camel
HBase,HBASE,https://github.com/apache/hbase
Cloudstack,CLOUDSTACK,https://github.com/apache/cloudstack
Spark,SPARK,https://github.com/apache/spark
Qpid,QPID,https://github.com/apache/qpid
Ambari,AMBARI,https://github.com/apache/ambari
Felix,FELIX,https://github.com/apache/felix
Wicket,WICKET,https://github.com/apache/wicket
Ignite,IGNITE,https://github.com/apache/ignite
CXF,CXF,https://github.com/apache/cxf
OFBiz,OFBIZ,https://github.com/apache/ofbiz
Groovy,GROOVY,https://github.com/apache/groovy
Beam,BEAM,https://github.com/apache/beam
Flink,FLINK,https://github.com/apache/flink
Cassandra,CASSANDRA,https://github.com/apache/cassandra
OpenEJB,OPENEJB,https://github.com/apache/openejb
Jena,JENA,https://github.com/apache/jena
Aries,ARIES,https://github.com/apache/aries
Hive,HIVE,https://github.com/apache/hive
Karaf,KARAF,https://github.com/apache/karaf
Axis2,AXIS2,https://github.com/apache/axis-axis2-java-core
Geronimo,GERONIMO,https://github.com/apache/geronimo
TomEE,TOMEE,https://github.com/apache/tomee
Brooklyn,BROOKLYN,https://github.com/apache/brooklyn-server
PDFBox,PDFBox,https://github.com/apache/pdfbox
Isis,ISIS,https://github.com/apache/isis
Storm,STORM,https://github.com/apache/storm
Jackrabbit,JCR,https://github.com/apache/jackrabbit
Synapse,SYNAPSE,https://github.com/apache/synapse
Directory Server,DIRISERVER,https://github.com/apache/directory-server
Brooklyn,BROOKLYN,https://github.com/apache/incubator-brooklyn
Axis,AXIS,https://github.com/apache/axis-axis1-java
Maven,MNG,https://github.com/apache/maven
Phoenix,PHOENIX,https://github.com/apache/phoenix
ActiveMQ,AMQ,https://github.com/apache/activemq
jclouds,JCLOUDS,https://github.com/apache/jclouds
Tobago,TOBAGO,https://github.com/apache/myfaces-tobago
Kafka,KAFKA,https://github.com/apache/kafka
Usergrid,USERGRID,https://github.com/apache/usergrid
Kylin,KYLIN,https://github.com/apache/kylin
Click,CLKE,https://github.com/apache/click
James,JAMES,https://github.com/apache/james-project
Syncope,SYNCOPE,https://github.com/apache/syncope
Accumulo,ACCUMULO,https://github.com/apache/accumulo
Archiva,MRM,https://github.com/apache/archiva
xml,FOP,https://github.com/apache/xmlgraphics-fop
Geode,GEODE,https://github.com/apache/geode
Airavata,AIRAVATA,https://github.com/apache/airavata
JSPWiki,JSPWIKI,https://github.com/apache/jspwiki
UIMA,UIMA,https://github.com/apache/uima-uimaj
ActiveMQ,ARTEMIS,https://github.com/apache/activemq-artemis
Derby,DERBY,https://github.com/apache/derby
AsterixDB,ASTERIXDB,https://github.com/apache/asterixdb
Apex,APEXMALHAR,https://github.com/apache/apex-malhar
Xerces for Java XML Parser,XERCESJ,https://github.com/apache/xerces2-j
Cayenne,CAY,https://github.com/apache/cayenne
Commons Math,MATH,https://github.com/apache/commons-math
OpenJPA,OPENJPA,https://github.com/apache/openjpa
Continuum,CONTINUUM,https://github.com/apache/continuum
SystemML,SYSTEMML,https://github.com/apache/systemml
SIS,SIS,https://github.com/apache/sis
Pulsar,PULSAR,https://github.com/apache/pulsar
Struts Framework,WW,https://github.com/apache/struts
MyFaces,MYFACES,https://github.com/apache/myfaces
NiFi,NIFI,https://github.com/apache/nifi
Commons Lang,LANG,https://github.com/apache/commons-lang
Apex,APEXCORE,https://github.com/apache/apex-core
Pig,PIG,https://github.com/apache/pig
Tika,TIKA,https://github.com/apache/tika
ManifoldCF,CONNECTORS,https://github.com/apache/manifoldcf
Tapestry,TAP5,https://github.com/apache/tapestry-5
Xalan,XALANJ,https://github.com/apache/xalan-j
Directory Studio,DIRSTUDIO,https://github.com/apache/directory-studio
Polygene,POLYGENE,https://github.com/apache/attic-polygene-java
Zeppelin,ZEPPELIN,https://github.com/apache/zeppelin
CarbonData,CARBONDATA,https://github.com/apache/carbondata
ODE,ODE,https://github.com/apache/ode
Guacamole,GUACAMOLE,https://github.com/apache/guacamole-client
Shindig,SHINDIG,https://github.com/apache/shindig
DRILL,DRILL,https://github.com/apache/drill
Pivot,PIVOT,https://github.com/apache/pivot
Openmeetings,OPENMEETINGS,https://github.com/apache/openmeetings
Atlas,ATLAS,https://github.com/apache/atlas
Roller,ROL,https://github.com/apache/roller
Mahout,MAHOUT,https://github.com/apache/mahout
Velocity,VELOCITY,https://github.com/apache/velocity-engine
Axiom,AXIOM,https://github.com/apache/ws-axiom
cTAKES,CTAKES,https://github.com/apache/ctakes
NetBeans,NETBEANS,https://github.com/apache/netbeans
Helix,HELIX,https://github.com/apache/helix
Calcite,CALCITE,https://github.com/apache/calcite
Ranger,RANGER,https://github.com/apache/ranger
Joshua,JOSHUA,https://github.com/apache/joshua
Cordova,CB,https://github.com/apache/cordova-android
MINA,DIRMINA,https://github.com/apache/mina
OpenWebBeans,OWB,https://github.com/apache/openwebbeans
Aurora,AURORA,https://github.com/apache/aurora
Ambari,AMBARI,https://github.com/apache/incubator-ambari
HttpComponents,HTTPCORE,https://github.com/apache/httpcomponents-core
ZooKeeper,ZOOKEEPER,https://github.com/apache/zookeeper
Nutch,NUTCH,https://github.com/apache/nutch
Tez,TEZ,https://github.com/apache/tez
Airflow,AIRFLOW,https://github.com/apache/incubator-dolphinscheduler
REEF,REEF,https://github.com/apache/reef
Commons Configuration,CONFIGURATION,https://github.com/apache/commons-configuration
HttpComponents,HTTPCLIENT,https://github.com/apache/httpcomponents-client
Commons Collections,COLLECTIONS,https://github.com/apache/commons-collections
Batik,BATIK,https://github.com/apache/xmlgraphics-batik
Commons JEXL,JEXL,https://github.com/apache/commons-jexl
Commons Validator,VALIDATOR,https://github.com/apache/commons-validator
Santuario,SANTUARIO,https://github.com/apache/santuario-java
BigTop,BIGTOP,https://github.com/apache/bigtop
BookKeeper,BOOKKEEPER,https://github.com/apache/bookkeeper
Ant,IVY,https://github.com/apache/ant-ivy
Freemarker,FREEMARKER,https://github.com/apache/freemarker
Pluto,PLUTO,https://github.com/apache/portals-pluto
Commons Compress,COMPRESS,https://github.com/apache/commons-compress
Oozie,OOZIE,https://github.com/apache/oozie
jUDDI,JUDDI,https://github.com/apache/juddi
Avro,AVRO,https://github.com/apache/avro
OODT,OODT,https://github.com/apache/oodt
OpenNLP,OPENNLP,https://github.com/apache/opennlp
Commons IO,IO,https://github.com/apache/commons-io
Chemistry,CMIS,https://github.com/apache/chemistry-opencmis
Knox,KNOX,https://github.com/apache/knox
Calcite,CALCITE,https://github.com/apache/calcite-avatica
